category,flow,method,endpoint,oauth_scope_restricted_tokens,min_role_or_permission,key_params,notes
Auth & OAuth,Register an OAuth application,GET/POST,/api/v4/oauth/applications,n/a,HCB admin (Doorkeeper admin_authenticator) on production; anyone in dev,"name, redirect_uri, scopes, confidential","Web UI (Doorkeeper). Grants client_id + client_secret. Scopes to register: read write and/or granular ones (restricted, receipts:read, receipts:write, ledgers:read, organizations:read, card_grants:write, user_lookup, event_followers, admin:read, admin:write, pii). authorized_applications controller is skipped (no user-facing 'my authorized apps' page)."
Auth & OAuth,Authorize an app on a user's behalf (authorization code flow),GET then POST,/api/v4/oauth/authorize,n/a,Any signed-in HCB user (blocked if account is locked),"client_id, redirect_uri, response_type=code, scope (space-separated)",User sees consent screen and approves; browser is redirected to redirect_uri with ?code=. HTTPS enforced on redirect URIs except localhost.
Auth & OAuth,Exchange authorization code for access + refresh tokens,POST,/api/v4/oauth/token,n/a,n/a (client credentials),"grant_type=authorization_code, code, client_id, client_secret, redirect_uri","Returns access_token (prefix hcb_, expires in 2 hours), refresh_token, scope. Content-Type x-www-form-urlencoded or JSON."
Auth & OAuth,Sign in from a CLI or device (device authorization flow) — step 1: get device code,POST,/api/v4/oauth/authorize_device,n/a,n/a (client credentials),client_id,"Returns device_code, user_code, verification_uri, interval (doorkeeper-device_authorization_grant gem)."
Auth & OAuth,Device flow — step 2: user verifies device in browser,GET then POST,/api/v4/oauth/device,n/a,Any signed-in HCB user,user_code,User visits the page and enters/confirms the user_code to authorize the device.
Auth & OAuth,Device flow — step 3: poll for token,POST,/api/v4/oauth/token,n/a,n/a (client credentials),"grant_type=urn:ietf:params:oauth:grant-type:device_code, device_code, client_id",Poll at the returned interval until the user approves; then receive access + refresh tokens.
Auth & OAuth,Refresh an expired access token,POST,/api/v4/oauth/token,n/a,n/a (client credentials),"grant_type=refresh_token, refresh_token, client_id, client_secret",Access tokens expire after 2 hours; expired tokens get 401 invalid_auth. use_refresh_token is enabled.
Auth & OAuth,Get an app-only token (client credentials grant),POST,/api/v4/oauth/token,n/a,n/a (client credentials),"grant_type=client_credentials, client_id, client_secret",Supported by grant_flows but the token has no user attached — nearly every v4 endpoint requires current_user so this is of limited practical use.
Auth & OAuth,Revoke a token (standard OAuth revocation),POST,/api/v4/oauth/revoke,n/a,n/a (client credentials + the token),"token, client_id, client_secret",RFC 7009 revocation endpoint.
Auth & OAuth,Revoke the current token / log out,POST,/api/v4/user/revoke,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,none,"Sets revoked_at on the presented token. Returns success, owner_email, key_name (app name)."
Auth & OAuth,Inspect a token (introspection / token info),POST / GET,/api/v4/oauth/introspect and /api/v4/oauth/token/info,n/a,Token holder / client,token,Standard Doorkeeper endpoints for checking token validity/scopes/expiry.
Current user,Get my profile,GET,/api/v4/user,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,"expand=shipping_address,billing_address; avatar_size=<px>","Returns id (usr_…), name, avatar URL, admin/auditor flags, own email + birthday. shipping_address comes from last physical card; billing_address from Stripe cardholder."
Current user,List organizations I belong to,GET,/api/v4/user/organizations,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,"expand=balance_cents,users,account_number,reporting","Non-hidden orgs ordered by join date desc. Each org: name, slug, country, icon URL, background_image URL, transparent, playground_mode, financially_frozen, fee_percentage, donation_page_available."
Current user,List all my cards across orgs,GET,/api/v4/user/cards,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user (own cards),"expand=organization,user,total_spent_cents","Returns type (virtual/physical), status, name, last4/exp (only after activation), personalization + shipping for physical cards."
Current user,List card grants I've received,GET,/api/v4/user/card_grants,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user (own grants),"expand=balance_cents,disbursements,user,organization","Grants where I'm the grantee, newest first."
Current user,Find my transactions missing receipts,GET,/api/v4/user/transactions/missing_receipt,ledgers:read,Any authenticated user (own card charges),"limit (≤100, default 25), after=txn_… cursor","Charges on my own Stripe cards still missing a receipt, newest first, paginated envelope (total_count, has_more, data)."
Current user,Get my available mobile app icons,GET,/api/v4/user/available_icons,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,none,"Flags: frc (robotics team), admin, platinum card, testflight, hackathon_grant, premium."
Current user,Get an Intercom support-chat JWT,GET,/api/v4/user/intercom_token,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user via a TRUSTED OAuth app,none,"1-hour JWT with user_id + email for embedding the Intercom messenger (used by the official mobile app)."
User lookup (admin),Look up any user by public ID,GET,/api/v4/users/:id,user_lookup,HCB auditor role + token with admin:read,avatar_size,"Returns the public user object. Email/birthday only with pii scope + admin:write."
User lookup (admin),Look up any user by email,GET,/api/v4/users/by_email/:email,user_lookup,HCB auditor role + token with admin:read,email in path,Same visibility rules as lookup by ID.
Invitations,List my pending org invitations,GET,/api/v4/user/invitations,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,none,"Each invitation embeds sender (user object), organization (org object), role, accepted flag."
Invitations,View one of my invitations,GET,/api/v4/user/invitations/:id,none declared (restricted tokens blocked; legacy tokens OK),The invited user (or HCB auditor),id (ivt public id or hashid),Cancelled/rejected invitations 404.
Invitations,Accept an org invitation,POST,/api/v4/user/invitations/:id/accept,none declared (restricted tokens blocked; legacy tokens OK),The invited user,none,Joins the org (onboarding tour suppressed). Returns the invitation.
Invitations,Reject an org invitation,POST,/api/v4/user/invitations/:id/reject,none declared (restricted tokens blocked; legacy tokens OK),The invited user,none,Declines the invitation.
Invitations,List an org's pending invitations,GET,/api/v4/organizations/:org/invitations,none declared (restricted tokens blocked; legacy tokens OK),Org member (any role) or HCB auditor,org id (org_…) or slug in path,Pending invitations only.
Invitations,Invite someone to an org,POST,/api/v4/organizations/:org/invitations,none declared (restricted tokens blocked; legacy tokens OK),Org manager (or HCB admin w/ admin:write),"email, role (reader/member/manager), enable_spending_controls, initial_control_allowance_amount",Sends the standard invite email. Invitee does not need an existing HCB account.
Invitations,Cancel a pending invitation,DELETE,/api/v4/organizations/:org/invitations/:id,none declared (restricted tokens blocked; legacy tokens OK),Org manager or the invite's original sender,none,"Returns { message: ""Invitation successfully deleted"" }."
Organizations,Get an organization's details,GET,/api/v4/organizations/:id,organizations:read,Org reader+ or HCB auditor w/ admin:read,":id = org_… public id or slug; expand=balance_cents,users,account_number,reporting","Core fields: name, slug, country, parent_id, transparent, financially_frozen, playground_mode, fee_percentage, donation_page_available, icon, background_image."
Organizations,Check an org's balance,GET,/api/v4/organizations/:id?expand=balance_cents,organizations:read,Org reader+,expand=balance_cents,Adds balance_cents (available balance) and fee_balance_cents.
Organizations,Get an org's account & routing numbers,GET,/api/v4/organizations/:id?expand=account_number,organizations:read,Org member+ (or auditor) AND plan has account numbers enabled,expand=account_number,"Adds account_number, routing_number, swift_bic_code for receiving funds."
Organizations,Get an org's fundraising/spending totals,GET,/api/v4/organizations/:id?expand=reporting,organizations:read,Org reader+,expand=reporting,Adds total_spent_cents and total_raised_cents.
Organizations,List an org's team members and roles,GET,/api/v4/organizations/:id?expand=users,organizations:read,Org reader+,expand=users,"Each member: user object, joined_at, role. Emails visible only for users who share an org with you (or pii scope)."
Organizations,Get an org's balance history by date,GET,/api/v4/organizations/:id/balance_by_date,organizations:read,Org reader+,none,"Daily running balance for up to the past year (cached 5 min), including today's live balance. For charts."
Organizations,List an org's followers,GET,/api/v4/organizations/:id/followers,event_followers,Org reader+,none,Array of user objects following the org.
Organizations,List an org's sub-organizations,GET,/api/v4/organizations/:id/sub_organizations,organizations:read,Org reader+ (and sub-orgs enabled or existing),none,Sub-orgs ordered by team join date.
Organizations,Create a sub-organization,POST,/api/v4/organizations/:id/sub_organizations,none declared (restricted tokens blocked; legacy tokens OK),Org manager (or member if member_subevent_creation flag on); sub-orgs enabled on plan,"name, email (first organizer, invited as signee), cosigner_email, country, scoped_tags","Inherits parent's transparency, risk level and subevent plan. Point of contact = you if HCB admin w/ admin:write, else system user."
Organizations,Download an org's logo or background image,GET,URLs in org object (icon / background_image),n/a,Anyone with the URL,none,Signed ActiveStorage blob URLs — fetch directly without Authorization header.
Ledger,List an org's transactions (ledger),GET,/api/v4/organizations/:id/transactions,ledgers:read,Org reader+ or HCB auditor w/ admin:read,"limit, after=txn_…, type=<see notes>, filters[search|tag_id|expenses|revenue|minimum_amount|maximum_amount|start_date|end_date|user_id|missing_receipts|category|merchant|order_by]","Merged pending + settled ledger, paginated envelope. type values: ach_transfer, mailed_check, hcb_transfer, card_charge, check_deposit, donation, invoice, refund, fiscal_sponsorship_fee, reimbursement, wire, paypal_transfer, wise_transfer."
Ledger,Search/filter an org's transactions,GET,/api/v4/organizations/:id/transactions?filters[…],ledgers:read,Org reader+,"filters[search]=text, filters[minimum_amount]/[maximum_amount] (dollars), filters[start_date]/[end_date], filters[user_id]=usr_…, filters[tag_id]=tag_…, filters[category], filters[merchant], filters[expenses]=true or filters[revenue]=true, filters[missing_receipts]=true, filters[order_by]",Same endpoint as ledger list — filters combine.
Ledger,Get a transaction's full details,GET,/api/v4/transactions/:id (also /api/v4/organizations/:org/transactions/:id),ledgers:read,"Org reader+ in any of the transaction's orgs, the purchasing cardholder, or HCB auditor",":id = txn_…; expand=organization (auto-expanded on the unscoped route)","Returns amount_cents, date, memo, pending/declined/reversed flags, tags, missing_receipt/lost_receipt, plus a type-specific sub-object: card_charge (merchant name/country/network_id, wallet, charge_method, spent_at, decline_reason, card), donation, invoice, check, ach_transfer, transfer (disbursement), check_deposit, expense_payout, or wise_transfer."
Ledger,Edit a transaction's memo,PATCH,/api/v4/organizations/:org/transactions/:id,none declared (restricted tokens blocked; legacy tokens OK),Org member+,memo,Sets a custom memo (has_custom_memo becomes true). Returns updated transaction.
Ledger,Get AI/heuristic memo suggestions for a transaction,GET,/api/v4/organizations/:org/transactions/:id/memo_suggestions,none declared (restricted tokens blocked; legacy tokens OK),Org member+,none,Returns up to 4 suggested memo strings.
Ledger,Tag or untag a transaction,PATCH,/api/v4/organizations/:org/transactions/:id,none declared (restricted tokens blocked; legacy tokens OK),Org member+ (tag must belong to the same org),"tag_ids=[tag_…, …] (full replacement list)",Replaces the transaction's tag set; pass [] to clear.
Ledger,Mark a transaction as no/lost receipt,POST,/api/v4/transactions/:id/mark_no_receipt,receipts:write,Org member+ or the purchaser,none,Removes it from missing-receipt lists. Returns confirmation message.
Receipts,List receipts attached to a transaction,GET,/api/v4/receipts?transaction_id=txn_…,receipts:read,Anyone who can view the transaction,transaction_id,"Each receipt: url, preview_url, filename, uploader (user object). Deprecated nested alias: GET /api/v4/organizations/:org/transactions/:txn/receipts."
Receipts,List my Receipt Bin (unattached receipts),GET,/api/v4/receipts,receipts:read,Any authenticated user (own bin),none,Receipts you uploaded that aren't attached to any transaction yet.
Receipts,Upload a receipt to a transaction,POST,/api/v4/receipts,receipts:write,Org member+ of the transaction's org (or the purchaser / HCB admin),"multipart/form-data: file (image/pdf/csv ≤50MB), transaction_id=txn_…","201 with receipt object. Recorded as upload_method=api; OCR extraction + pairing run async."
Receipts,Upload a receipt to my Receipt Bin,POST,/api/v4/receipts,receipts:write,Any authenticated user,multipart/form-data: file only (omit transaction_id),Receipt lands unattached in your bin; HCB suggests transaction pairings asynchronously.
Receipts,Download a receipt's original file,GET,receipt.url (from any receipt response),n/a,Anyone with the URL,none,Signed blob URL — download directly with no Authorization header. Use the filename field for naming.
Receipts,Download a receipt's preview image,GET,receipt.preview_url,n/a,Anyone with the URL,none,Rendered image preview; null for CSVs or when preview generation failed.
Receipts,Delete a receipt,DELETE,/api/v4/receipts/:id,receipts:write,"Bin receipts: the uploader. Transaction receipts: org member+ (unlocked). Reimbursement-expense receipts: report owner or org manager. HCB admin: always",:id = rct_… (hashid also accepted for old mobile clients),"Returns { message: ""Receipt successfully deleted"" }."
Receipts,Move a receipt from the bin onto a transaction (composite),GET + POST + DELETE,receipt.url → POST /api/v4/receipts → DELETE /api/v4/receipts/:id,receipts:read + receipts:write,Uploader (bin) + member+ on target org,"transaction_id, file","No single move endpoint exists: download from url, re-upload with transaction_id, then delete the original only after a 201."
Comments,List comments on a transaction,GET,/api/v4/comments?transaction_id=txn_…,none declared (restricted tokens blocked; legacy tokens OK),Anyone who can view the transaction,transaction_id,"Oldest first. admin_only comments are hidden unless you're an HCB auditor w/ admin:read. Each comment: content, user, optional file URL. Deprecated nested alias under /organizations/:org/transactions/:txn/comments."
Comments,Comment on a transaction,POST,/api/v4/comments,none declared (restricted tokens blocked; legacy tokens OK),User in any of the transaction's orgs (incl. parent-org users),"transaction_id, content, file (optional attachment)",201 with the comment object.
Comments,Attach a file to a comment / download comment attachments,POST / GET,/api/v4/comments (file param); file URL in comment object,none declared (restricted tokens blocked; legacy tokens OK),Same as commenting,file,Response includes a signed blob URL for the attachment — downloadable without auth headers.
Comments,Post an admin-only (internal) comment,POST,/api/v4/comments,none declared (restricted tokens blocked; legacy tokens OK),HCB auditor w/ admin:read,"transaction_id, content, admin_only=true",Visible only to HCB staff.
Tags,List an org's transaction tags,GET,/api/v4/tags?event_id=org_…,none declared (restricted tokens blocked; legacy tokens OK),Org reader+,event_id (or organization_id),"Each tag: label, color, emoji."
Tags,Get a tag,GET,/api/v4/tags/:id,none declared (restricted tokens blocked; legacy tokens OK),Org reader+ (tag's org),:id = tag_…,none
Tags,Create a tag,POST,/api/v4/tags,none declared (restricted tokens blocked; legacy tokens OK),Org member+,"event_id, label, color, emoji",201 with the tag. Apply it to transactions via PATCH transaction tag_ids.
Tags,Delete a tag,DELETE,/api/v4/tags/:id,none declared (restricted tokens blocked; legacy tokens OK),Org member+,none,Removes the tag from all transactions.
Cards,List an org's cards,GET,/api/v4/organizations/:org/cards,none declared (restricted tokens blocked; legacy tokens OK),Org reader+ AND org approved with cards enabled,"expand=user,total_spent_cents",Newest first.
Cards,Get a card's details,GET,/api/v4/cards/:id,none declared (restricted tokens blocked; legacy tokens OK),"Org reader+, the grantee (for grant cards), or HCB auditor",":id = crd_…; expand=organization,user,last_frozen_by,total_spent_cents,balance_available","last4/exp only shown once activated. Physical cards include personalization (color, logo_url) and shipping (status, eta, address)."
Cards,Track a physical card's shipping,GET,/api/v4/cards/:id,none declared (restricted tokens blocked; legacy tokens OK),Org reader+,none,shipping.status (from Stripe) + shipping.eta + shipping address inside the card object.
Cards,Browse available card designs,GET,/api/v4/cards/card_designs,none declared (restricted tokens blocked; legacy tokens OK),Anyone (common designs); org member+ w/ event_id for org-specific designs,event_id (optional),"Returns id, name, color, status, logo_url (downloadable). HCB auditors w/ admin:read also see unlisted designs."
Cards,Issue a new virtual card,POST,/api/v4/cards,none declared (restricted tokens blocked; legacy tokens OK),Org member+ (not playground mode); user needs birthday set + verified phone number,"card[organization_id], card[card_type]=virtual, card[card_personalization_design_id] (optional)",201 with the card.
Cards,Order a new physical card,POST,/api/v4/cards,none declared (restricted tokens blocked; legacy tokens OK),Org member+; birthday + verified phone required,"card[card_type]=physical, card[shipping_name], card[shipping_address_line1/line2/city/state/postal_code/country] (US only), card[card_personalization_design_id]",Ships to US addresses only. Card must be activated on arrival.
Cards,Activate a physical card on arrival,POST,/api/v4/cards/activate,none declared (restricted tokens blocked; legacy tokens OK),The cardholder (member+) — or HCB admin,"id=crd_…, last4 (verification)","Verifies last4 belongs to your card, cancels the card it replaces (if any), marks activated and unfreezes."
Cards,Freeze a card,POST,/api/v4/cards/freeze,none declared (restricted tokens blocked; legacy tokens OK),"Org manager, the cardholder (member+), or the grantee",id=crd_… (in body/query),Records who froze it (last_frozen_by).
Cards,Unfreeze (defrost) a card,POST,/api/v4/cards/defrost,none declared (restricted tokens blocked; legacy tokens OK),Same as freeze — but if someone else froze it only a manager can unfreeze; blocked while org is financially frozen,id=crd_…,Errors if already active.
Cards,Cancel a card permanently,POST,/api/v4/cards/:id/cancel,none declared (restricted tokens blocked; legacy tokens OK),Org manager or the cardholder (member+),none,Irreversible; errors if already canceled.
Cards,(Deprecated) freeze/unfreeze/activate via status update,PATCH,/api/v4/cards/:id,none declared (restricted tokens blocked; legacy tokens OK),Same as freeze/defrost/activate,status=frozen|active (+ last4 when first activation),Delegates to freeze/defrost/activate. Use the dedicated endpoints instead.
Cards,List a card's transactions,GET,/api/v4/cards/:id/transactions,none declared (restricted tokens blocked; legacy tokens OK),"Org reader+, the cardholder, or HCB auditor","missing_receipts=true (filter), limit, after=txn_…",Paginated envelope of the card's charges.
Cards,Reveal a virtual card's full number (PAN/CVC via Stripe),GET,/api/v4/cards/:id/ephemeral_keys,none declared (restricted tokens blocked; legacy tokens OK),The cardholder only + TRUSTED OAuth app + virtual card (grant cards must be pre-authorized),"nonce (from Stripe SDK), stripe_version","Returns ephemeralKeyId/Secret + stripe_id; feed to Stripe's SDK to display full card details. Usage is analytics-tracked."
Card grants,List an org's card grants,GET,/api/v4/organizations/:org/card_grants,none declared (restricted tokens blocked; legacy tokens OK),Org reader+ AND transfers enabled on plan,"expand=user,organization,balance_cents,disbursements",Newest first.
Card grants,Send a card grant to someone by email,POST,/api/v4/organizations/:org/card_grants,card_grants:write,Org manager (grants enabled on plan) — or HCB admin w/ admin:write,"amount_cents, email, purpose, instructions, invite_message, merchant_lock, category_lock, keyword_lock, one_time_use, pre_authorization_required, expiration_at; admins may add sent_by_email to send as another user","Emails the grantee; funds move via an internal disbursement. Response auto-expands user, organization, disbursements. Validation errors return 422 invalid_operation."
Card grants,Get a card grant's details,GET,/api/v4/card_grants/:id,none declared (restricted tokens blocked; legacy tokens OK),"Org reader+, the grantee, or HCB auditor",":id = cdg_…; expand=balance_cents,disbursements,user,organization","Includes amount_cents, status, locks, allowed_merchants/categories, purpose, one_time_use, pre_authorization_required, expires_on, card_id."
Card grants,Update a grant's restrictions/purpose/expiry,PATCH,/api/v4/card_grants/:id,none declared (restricted tokens blocked; legacy tokens OK),Org manager (grant must be active),"merchant_lock, category_lock, keyword_lock, purpose, one_time_use, instructions, expiration_at",Returns updated grant.
Card grants,Top up a card grant,POST,/api/v4/card_grants/:id/topup,none declared (restricted tokens blocked; legacy tokens OK),Org manager (grant active),amount_cents,Moves additional funds onto the grant.
Card grants,Withdraw funds from a card grant,POST,/api/v4/card_grants/:id/withdraw,none declared (restricted tokens blocked; legacy tokens OK),Org manager (grant active),amount_cents,Pulls unspent funds back to the org.
Card grants,Cancel a card grant,POST,/api/v4/card_grants/:id/cancel,none declared (restricted tokens blocked; legacy tokens OK),Org manager or the grantee (grant active),none,Returns remaining balance to the org and kills the card.
Card grants,Activate a received grant (issue its virtual card),POST,/api/v4/card_grants/:id/activate,none declared (restricted tokens blocked; legacy tokens OK),The grantee (once authorized; HCB admin can force),none,Creates the Stripe virtual card for the grant; card_id then appears on the grant. Grantee then uses card endpoints (freeze/ephemeral_keys etc.).
Card grants,List a grant's transactions,GET,/api/v4/card_grants/:id/transactions,none declared (restricted tokens blocked; legacy tokens OK),"Org reader+, the grantee, or HCB auditor","limit, after=txn_…",Paginated envelope of spending on the grant's card.
Money movement,Send an ACH transfer,POST,/api/v4/ach_transfers,none declared (restricted tokens blocked; legacy tokens OK),Org manager (not playground mode),"event_id (or organization_id), ach_transfer[routing_number, account_number, recipient_name, recipient_email, bank_name, amount_money, payment_for, send_email_notification, invoiced_at, file]; HCB admins w/ admin:write may add scheduled_on","Hard cap: amounts over $500.00 (sudo-mode threshold) are rejected via API. Optional file is attached as the receipt. Transfer enters HCB's approval queue."
Money movement,Mail a physical check,POST,/api/v4/checks,none declared (restricted tokens blocked; legacy tokens OK),Org manager (not playground mode),"event_id, check[memo, amount_cents, payment_for, recipient_name, recipient_email, address_line1/line2/city/state/zip, send_email_notification, file]","Same $500.00 API cap. Optional file attached as receipt. Sent via Increase, enters approval queue."
Money movement,List an org's mailed checks,GET,/api/v4/checks?event_id=org_…,none declared (restricted tokens blocked; legacy tokens OK),Org reader+ AND transfers enabled,event_id,Newest first.
Money movement,Get a mailed check's status,GET,/api/v4/checks/:id,none declared (restricted tokens blocked; legacy tokens OK),Currently nobody — apparent bug,:id = ick_…,"Route exists but IncreaseCheckPolicy defines no show? so it inherits false and always returns 403. Fetch check details via the transaction object's check sub-object instead."
Money movement,Deposit a paper check by photo,POST,/api/v4/check_deposits,none declared (restricted tokens blocked; legacy tokens OK),Org member+ (plan allows check deposits; not playground mode),"multipart/form-data: event_id, front (image), back (image), amount_cents",201 with status; processed asynchronously with estimated_arrival_date.
Money movement,List an org's check deposits,GET,/api/v4/check_deposits?event_id=org_…,none declared (restricted tokens blocked; legacy tokens OK),Org reader+ (plan allows check deposits),event_id,"Includes status, rejection reason/description if rejected, estimated_arrival_date, submitter."
Money movement,Get a check deposit,GET,/api/v4/check_deposits/:id,none declared (restricted tokens blocked; legacy tokens OK),Org reader+,:id = cdp_…,Same fields as list.
Money movement,Download check deposit images (front/back),GET,front_url / back_url in check deposit object,n/a,"URL only rendered for org managers, HCB auditors, or the uploader",none,Signed blob URLs — downloadable directly once obtained.
Money movement,Transfer money to another HCB org (disbursement),POST,/api/v4/organizations/:org/transfers,none declared (restricted tokens blocked; legacy tokens OK),Manager of the SOURCE org AND manager of the destination org (destination-manager requirement waived if source plan allows unrestricted disbursements; HCB admin bypasses),"to_organization_id (org_… or slug), name (memo), amount_cents","May be fronted instantly if the source plan supports it. Response is the disbursement; Location header points at the transaction."
Money movement,Record an in-person (point-of-sale) donation,POST,/api/v4/organizations/:org/donations,none declared (restricted tokens blocked; legacy tokens OK),Org reader+ via a TRUSTED OAuth app,"amount_cents, name, email, message, anonymous, tax_deductible, fee_covered","Creates an in_person donation (optionally grossed up to cover fees if org has fee-covering enabled). Used by the mobile app's donation collection."
Money movement,Take the donation card payment via Stripe Terminal (composite),POST + POST + GET,create donation → /api/v4/organizations/:org/donations/:id/payment_intent → /api/v4/stripe_terminal_connection_token,none declared (restricted tokens blocked; legacy tokens OK),Org reader+ via TRUSTED OAuth app,none,"payment_intent returns payment_intent_id + client_secret; connection token initializes the Stripe Terminal SDK for tap-to-pay, completing the donation."
Money movement,Get a Stripe Terminal connection token,GET,/api/v4/stripe_terminal_connection_token,none declared (restricted tokens blocked; legacy tokens OK),Any authenticated user,none,Returns terminal_connection_token for the Stripe Terminal SDK.
Invoicing & sponsors,List an org's sponsors,GET,/api/v4/sponsors?event_id=org_…,none declared (restricted tokens blocked; legacy tokens OK),Org reader+,event_id,"Sponsor contact + address records used for invoicing. Never visible via transparency mode."
Invoicing & sponsors,Get a sponsor,GET,/api/v4/sponsors/:id,none declared (restricted tokens blocked; legacy tokens OK),Org reader+,:id = spr_…,none
Invoicing & sponsors,Add a sponsor,POST,/api/v4/sponsors,none declared (restricted tokens blocked; legacy tokens OK),Org member+,"event_id, sponsor[name, contact_email, address_line1/line2/city/state/postal_code/country]",201 with the sponsor. Prerequisite for creating an invoice.
Invoicing & sponsors,Send an invoice to a sponsor,POST,/api/v4/invoices,none declared (restricted tokens blocked; legacy tokens OK),Org member+ AND org approved with invoices enabled,"event_id, sponsor_id=spo_…, invoice[due_date, item_description, item_amount (cents)]",Creates and sends a Stripe-backed invoice to the sponsor's contact email.
Invoicing & sponsors,List an org's invoices,GET,/api/v4/invoices?event_id=org_…,none declared (restricted tokens blocked; legacy tokens OK),Org reader+ (org approved & invoices enabled; public orgs readable),event_id,"Each invoice: status, to (sponsor name), amount_due, memo, due_date, item details."
Invoicing & sponsors,Get an invoice,GET,/api/v4/invoices/:id,none declared (restricted tokens blocked; legacy tokens OK),Org reader+ (or public org),:id = inv_…,Full details gated by policy; public viewers see status/to/amount only.
Admin,Use admin read powers across HCB,GET,any v4 read endpoint,admin:read (+ user_lookup etc. where declared),HCB auditor/admin/superadmin role AND token carrying admin:read,scope=admin:read at authorize time,"Unlocks: any org/transaction/card visibility, users#show/by_email, _debug.hcb_code on transactions, unlisted card designs, admin_only comments. Without the scope the API pretends you're a normal user."
Admin,Use admin write powers,POST/PATCH,various v4 write endpoints,admin:write,HCB admin/superadmin role AND token carrying admin:write,scope=admin:write,"Unlocks: scheduling ACH transfers (scheduled_on), sending card grants as another user (sent_by_email), becoming point-of-contact on sub-org creation. Independent of admin:read."
Admin,Read other users' PII (email/birthday),GET,any endpoint rendering user objects,pii (+ admin:write),HCB admin + token with pii and admin:write scopes,scope=pii admin:write,"expand_pii gate: email and birthday of users other than yourself (and their shipping/billing addresses via expand) are only rendered with this combination — or for users sharing an org with you (email only)."
